Designator,Mid X,Mid Y,Rotation,Layer
J1,68.58,-74.93,90.0,top
J2,68.58,-63.5,90.0,top
J3,68.58,-54.61,90.0,top
J4,88.9,-74.93,90.0,top
J5,88.9,-63.5,90.0,top
J6,88.9,-54.61,90.0,top
J7,114.3,-74.93,90.0,top
J8,114.3,-63.5,90.0,top
J9,114.3,-54.61,90.0,top
